Enter How Many Months The Loan Will Take To Pay Off : Enter Total Balance For Loan : $Enter The Interest Rate For The Loan (Float) : %Enter The Monthly Payment : $
          Month        Balance      Payment    Interest  Loan Pay  New Balance
          1            20000        387        287        100      19713
          2            19713        387        288         99      19425
          3            19425        387        290         97      19135
          4            19135        387        291         96      18844
          5            18844        387        293         94      18551
          6            18551        387        294         93      18257
          7            18257        387        296         91      17961
          8            17961        387        297         90      17664
          9            17664        387        299         88      17365
         10            17365        387        300         87      17065
         11            17065        387        302         85      16763
         12            16763        387        303         84      16460
         13            16460        387        305         82      16155
         14            16155        387        306         81      15849
         15            15849        387        308         79      15541
         16            15541        387        309         78      15232
         17            15232        387        311         76      14921
         18            14921        387        312         75      14609
         19            14609        387        314         73      14295
         20            14295        387        316         71      13979
         21            13979        387        317         70      13662
         22            13662        387        319         68      13343
         23            13343        387        320         67      13023
         24            13023        387        322         65      12701
         25            12701        387        323         64      12378
         26            12378        387        325         62      12053
         27            12053        387        327         60      11726
         28            11726        387        328         59      11398
         29            11398        387        330         57      11068
         30            11068        387        332         55      10736
         31            10736        387        333         54      10403
         32            10403        387        335         52      10068
         33            10068        387        337         50       9731
         34             9731        387        338         49       9393
         35             9393        387        340         47       9053
         36             9053        387        342         45       8711
         37             8711        387        343         44       8368
         38             8368        387        345         42       8023
         39             8023        387        347         40       7676
         40             7676        387        349         38       7327
         41             7327        387        350         37       6977
         42             6977        387        352         35       6625
         43             6625        387        354         33       6271
         44             6271        387        356         31       5915
         45             5915        387        357         30       5558
         46             5558        387        359         28       5199
         47             5199        387        361         26       4838
         48             4838        387        363         24       4475
         49             4475        387        365         22       4110
         50             4110        387        366         21       3744
         51             3744        387        368         19       3376
         52             3376        387        370         17       3006
         53             3006        387        372         15       2634
         54             2634        387        374         13       2260
         55             2260        387        376         11       1884
         56             1884        387        378          9       1506
         57             1506        387        379          8       1127
         58             1127        387        381          6        746
         59              746        387        383          4        363
         60                0        387        387          0          0
